name;diameter;count;price;type_size;category
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;32;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;40;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;40;10;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;40;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;50;6;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;50;10;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;50;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;65;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;65;10;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;65;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;80;6;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;80;10;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;80;16;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;100;6;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;100;10;дог.;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;100;16;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
   Фланцы приварные встык ст. 09г2с ГОСТ 33259-2015 (ГОСТ 12821-01) точеные, полная мех. обработка;125;6;*;;Фланцы ГОСТ 33259-2015, ст. 09г2с или Фланцы ГОСТ 12820 и Фланцы ГОСТ 12821, ст. 09г2с
